Num postal caption,Número de vehicles implicats,Nom barri,Coordenada UTM (Y),Número de lesionats greus,Número de lesionats lleus,Nom districte,Descripció tipus dia,NK barri,NK Any,Nom mes,Descripció torn,Nom carrer,Número de morts,Codi carrer,Número d'expedient,Descripció dia setmana,Número de víctimes,Coordenada UTM (X),Mes de any,Dia de setmana,Codi districte,Dia de mes,_id,Hora de dia,Descripció causa vianant
Desconegut,2,Desconegut,-1,0,1,Desconegut,Laboral,-1--1--1,2011,Gener,Tarda,Desconegut,0,-1,2011S000232,Dijous,1,-1,1,4,-1,13,1,15,Desconegut
Desconegut,1,Desconegut,-1,0,1,Desconegut,Laboral,-1--1--1,2011,Febrer,Matí,Desconegut,0,-1,2011S000692,Dimecres,1,-1,2,3,-1,2,2,11,Desobeir el senyal del semŕfor
0189 0189,2,el Camp de l'Arpa del Clot,"4585070,71",0,1,Sant Martí,Laboral,101-10-64,2011,Octubre,Tarda,Meridiana,0,209900,2011S007125,Divendres,1,"432021,86",10,5,10,21,3,16,Desconegut
0201 0201,2,el Camp de l'Arpa del Clot,"4585164,43",0,1,Sant Martí,Laboral,101-10-64,2011,Novembre,Tarda,Meridiana,0,209900,2011S007688,Dilluns,1,"432022,53",11,1,10,14,4,19,Desconegut
0275 0277,2,el Camp de l'Arpa del Clot,"4585097,87",0,1,Sant Martí,Laboral,101-10-64,2011,Gener,Matí,Indústria,0,161407,2011S000334,Dimarts,1,"431520,25",1,2,10,18,5,12,Desconegut
0044 0046,2,el Camp de l'Arpa del Clot,"4585201,16",0,1,Sant Martí,Laboral,101-10-64,2011,Novembre,Matí,Maragall,0,194406,2011S007926,Dijous,1,"431537,33",11,4,10,24,6,9,Desconegut
0697 0699,2,el Camp de l'Arpa del Clot,"4584871,61",0,1,Sant Martí,Laboral,101-10-64,2011,Febrer,Matí,Cňrsega,0,90502,2011S001385,Dilluns,1,"431493,55",2,1,10,28,7,9,Desconegut
0575 0575,2,el Camp de l'Arpa del Clot,"4584593,09",0,2,Sant Martí,Laboral,101-10-64,2011,Abril,Tarda,Provença,0,268003,2011S002330,Dilluns,2,"431616,77",4,1,10,4,8,21,Desconegut
9999 9999,1,el Camp de l'Arpa del Clot,"4584593,54",0,1,Sant Martí,Laboral,101-10-64,2011,Gener,Tarda,Heroďnes de Girona,0,700018,2011S000043,Dilluns,1,"431423,24",1,1,10,3,9,20,Altres
0548 0548,2,el Camp de l'Arpa del Clot,"4584468,38",0,1,Sant Martí,Laboral,101-10-64,2011,Juliol,Tarda,Mallorca,0,191204,2011S004869,Divendres,1,"431696,44",7,5,10,15,10,19,Desconegut
0556 0556,2,el Camp de l'Arpa del Clot,"4584509,37",0,1,Sant Martí,Laboral,101-10-64,2011,Juliol,Matí,Mallorca,0,191204,2011S004602,Dimecres,1,"431738,90",7,3,10,6,11,8,Desconegut
0321 0321,2,el Camp de l'Arpa del Clot,"4584508,07",0,1,Sant Martí,Laboral,101-10-64,2011,Juliol,Tarda,Independčncia,0,161101,2011S004641,Dijous,1,"431573,78",7,4,10,7,12,16,Desconegut
0001 0001,2,el Camp de l'Arpa del Clot,"4584433,32",0,1,Sant Martí,Laboral,101-10-64,2011,Octubre,Tarda,Rogent,0,286300,2011S006967,Dissabte,1,"432003,67",10,6,10,15,13,20,Desconegut
0058 0058,2,la Verneda i la Pau,"4586683,16",0,0,Sant Martí,Laboral,102-10-73,2011,Maig,Nit,Santander,0,318906,2011S003627,Dissabte,0,"433467,85",5,6,10,28,28,0,Desconegut
0134 0134,2,el Camp de l'Arpa del Clot,"4584960,32",0,2,Sant Martí,Laboral,101-10-64,2011,Març,Tarda,Freser,0,134801,2011S001877,Dissabte,2,"431583,65",3,6,10,19,14,21,Desconegut
0231 0231,2,Sant Martí de Provençals,"4585340,39",0,1,Sant Martí,Laboral,102-10-72,2011,Març,Nit,Selva de Mar,0,322608,2011S002073,Dissabte,1,"433002,19",3,6,10,26,15,0,Desconegut
0041 0041,2,Sant Martí de Provençals,"4585178,69",0,1,Sant Martí,Laboral,102-10-72,2011,Juliol,Tarda,Guipúscoa,0,153205,2011S005188,Divendres,1,"432758,53",7,5,10,29,16,18,Desconegut
0006 0006,1,Sant Martí de Provençals,"4585382,46",0,1,Sant Martí,Laboral,102-10-72,2011,Juliol,Tarda,Menorca,0,208205,2011S004647,Dijous,1,"432633,10",7,4,10,7,17,17,Desconegut
0255 0255,2,Sant Martí de Provençals,"4585474,52",0,2,Sant Martí,Laboral,102-10-72,2011,Març,Nit,Selva de Mar,0,322608,2011S002125,Dilluns,2,"432867,27",3,1,10,28,18,22,Desconegut
0132 0132,2,Sant Martí de Provençals,"4585159,49",0,1,Sant Martí,Laboral,102-10-72,2011,Desembre,Tarda,Andrade,0,15201,2011S008231,Dimarts,1,"433166,94",12,2,10,6,19,20,Desconegut
0035 0035,1,el Clot,"4584281,77",0,0,Sant Martí,Laboral,101-10-65,2011,Febrer,Tarda,Clot,0,81603,2011S000763,Divendres,0,"432115,16",2,5,10,4,20,17,Desconegut
1025 1027,2,Sant Martí de Provençals,"4585025,16",0,1,Sant Martí,Laboral,102-10-72,2011,Juny,Tarda,Corts Catalanes,0,169409,2011S004089,Dimecres,1,"433153,64",6,3,10,15,21,15,Desconegut
0103 0103,1,el Clot,"4584319,18",0,1,Sant Martí,Laboral,101-10-65,2011,Octubre,Nit,Meridiana,0,209900,2011S007033,Dimarts,1,"432011,39",10,2,10,18,22,22,Altres
0643 0645,4,el Clot,"4584746,84",0,1,Sant Martí,Laboral,101-10-65,2011,Juny,Matí,Aragó,0,18505,2011S003837,Diumenge,1,"432317,11",6,7,10,5,23,7,Desconegut
0241 0241,2,el Clot,"4584767,38",0,2,Sant Martí,Laboral,101-10-65,2011,Maig,Nit,Bilbao,0,42306,2011S003524,Dimarts,2,"432433,25",5,2,10,24,24,22,Desconegut
0599 0599,2,el Camp de l'Arpa del Clot,"4584768,61",0,1,Sant Martí,Laboral,101-10-64,2011,Novembre,Matí,Mallorca,0,191204,2011S007655,Diumenge,1,"431970,74",11,7,10,13,25,13,Desconegut
0192 0194,2,la Verneda i la Pau,"4585931,79",0,2,Sant Martí,Laboral,102-10-73,2011,Setembre,Matí,Prim,0,266405,2011S005863,Dimarts,2,"433603,70",9,2,10,6,26,6,Desconegut
0159 0159,1,la Verneda i la Pau,"4585888,56",0,1,Sant Martí,Laboral,102-10-73,2011,Maig,Nit,Prim,0,266405,2011S003456,Dissabte,1,"433559,58",5,6,10,21,27,23,Desobeir el senyal del semŕfor
0102I0102I,1,Sant Martí de Provençals,"4585592,84",0,0,Sant Martí,Laboral,102-10-72,2011,Octubre,Matí,Guipúscoa,1,153205,2011S006619,Dilluns,1,"433241,97",10,1,10,3,29,11,Creuar per fora pas de vianants
0008 0008,1,el Besňs i el Maresme,"4584712,22",0,3,Sant Martí,Laboral,103-10-70,2011,Juny,Tarda,Diagonal,0,144601,2011S003817,Dissabte,3,"434612,05",6,6,10,4,30,15,Desobeir el senyal del semŕfor
0107 0107,1,Provençals del Poblenou,"4584912,67",0,1,Sant Martí,Laboral,103-10-71,2011,Agost,Nit,Josep Pla,0,143609,2011S005729,Dimarts,1,"433973,86",8,2,10,30,31,23,Desconegut
9999 9999,1,el Poblenou,"4582903,53",0,1,Sant Martí,Laboral,104-10-68,2011,Octubre,Nit,Poblenou,0,700755,2011S006637,Dimarts,1,"433491,70",10,2,10,4,32,4,Desconegut
0097 0097,2,el Poblenou,"4582749,28",0,1,Sant Martí,Laboral,104-10-68,2011,Desembre,Tarda,Salvador Espriu,0,700662,2011S008535,Dilluns,1,"433386,70",12,1,10,19,33,14,Desconegut
0061 0061,1,el Poblenou,"4583562,75",0,2,Sant Martí,Laboral,104-10-68,2011,Juliol,Nit,Llacuna,0,183603,2011S005110,Dimecres,2,"433054,03",7,3,10,27,34,3,Transitar a peu per la calçada
0194 0194,3,Provençals del Poblenou,"4584622,85",0,1,Sant Martí,Laboral,103-10-71,2011,Agost,Matí,Espronceda,0,115603,2011S005713,Dimarts,1,"432983,65",8,2,10,30,35,6,Desconegut
